producto;tramo_negocio;periodo;DTR;cliente;target;tipo
Producto C;Tramo 2;202207;Grupo 1;20;0.1;Actual
Producto C;Tramo 2;202207;Grupo 2;219;0.164383562;Actual
Producto C;Tramo 2;202207;Grupo 3;273;0.183150183;Actual
Producto C;Tramo 2;202207;Grupo 4;458;0.338427948;Actual
Producto C;Tramo 2;202207;Grupo 5;413;0.440677966;Actual
Producto C;Tramo 2;202201;Grupo 1;333;0.216216216;Nuevo
Producto C;Tramo 2;202201;Grupo 2;415;0.330120482;Nuevo
Producto C;Tramo 2;202201;Grupo 3;298;0.416107383;Nuevo
Producto C;Tramo 2;202201;Grupo 4;102;0.607843137;Nuevo
Producto C;Tramo 2;202202;Grupo 1;325;0.153846154;Nuevo
Producto C;Tramo 2;202202;Grupo 2;387;0.315245478;Nuevo
Producto C;Tramo 2;202202;Grupo 3;263;0.425855513;Nuevo
Producto C;Tramo 2;202202;Grupo 4;101;0.544554455;Nuevo
Producto C;Tramo 2;202203;Grupo 1;312;0.230769231;Nuevo
Producto C;Tramo 2;202203;Grupo 2;398;0.35678392;Nuevo
Producto C;Tramo 2;202203;Grupo 3;259;0.455598456;Nuevo
Producto C;Tramo 2;202203;Grupo 4;131;0.671755725;Nuevo
Producto C;Tramo 2;202204;Grupo 1;338;0.171597633;Nuevo
Producto C;Tramo 2;202204;Grupo 2;407;0.307125307;Nuevo
Producto C;Tramo 2;202204;Grupo 3;257;0.455252918;Nuevo
Producto C;Tramo 2;202204;Grupo 4;89;0.651685393;Nuevo
Producto C;Tramo 2;202205;Grupo 1;302;0.215231788;Nuevo
Producto C;Tramo 2;202205;Grupo 2;375;0.333333333;Nuevo
Producto C;Tramo 2;202205;Grupo 3;281;0.494661922;Nuevo
Producto C;Tramo 2;202205;Grupo 4;97;0.680412371;Nuevo
Producto C;Tramo 2;202206;Grupo 1;361;0.24099723;Nuevo
Producto C;Tramo 2;202206;Grupo 2;408;0.335784314;Nuevo
Producto C;Tramo 2;202206;Grupo 3;277;0.487364621;Nuevo
Producto C;Tramo 2;202206;Grupo 4;96;0.59375;Nuevo
Producto C;Tramo 2;202207;Grupo 1;471;0.167728238;Nuevo
Producto C;Tramo 2;202207;Grupo 2;444;0.281531532;Nuevo
Producto C;Tramo 2;202207;Grupo 3;319;0.410658307;Nuevo
Producto C;Tramo 2;202207;Grupo 4;149;0.604026846;Nuevo
Producto C;Tramo 3;202201;Grupo 2;302;0.48013245;Actual
Producto C;Tramo 3;202201;Grupo 3;203;0.630541872;Actual
Producto C;Tramo 3;202201;Grupo 4;223;0.856502242;Actual
Producto C;Tramo 3;202202;Grupo 2;290;0.462068966;Actual
Producto C;Tramo 3;202202;Grupo 3;191;0.659685864;Actual
Producto C;Tramo 3;202202;Grupo 4;202;0.757425743;Actual
Producto C;Tramo 3;202203;Grupo 2;285;0.49122807;Actual
Producto C;Tramo 3;202203;Grupo 3;178;0.713483146;Actual
Producto C;Tramo 3;202203;Grupo 4;219;0.803652968;Actual
Producto C;Tramo 3;202204;Grupo 2;275;0.48;Actual
Producto C;Tramo 3;202204;Grupo 3;189;0.624338624;Actual
Producto C;Tramo 3;202204;Grupo 4;233;0.785407725;Actual
Producto C;Tramo 3;202205;Grupo 2;269;0.505576208;Actual
Producto C;Tramo 3;202205;Grupo 3;172;0.680232558;Actual
Producto C;Tramo 3;202205;Grupo 4;216;0.833333333;Actual
Producto C;Tramo 3;202206;Grupo 2;292;0.489726027;Actual
Producto C;Tramo 3;202206;Grupo 3;170;0.652941176;Actual
Producto C;Tramo 3;202206;Grupo 4;213;0.807511737;Actual
Producto C;Tramo 3;202207;Grupo 2;312;0.467948718;Actual
Producto C;Tramo 3;202207;Grupo 3;181;0.535911602;Actual
Producto C;Tramo 3;202207;Grupo 4;230;0.817391304;Actual
Producto C;Tramo 3;202201;Grupo 1;242;0.466942149;Nuevo
Producto C;Tramo 3;202201;Grupo 2;241;0.622406639;Nuevo
Producto C;Tramo 3;202201;Grupo 3;176;0.761363636;Nuevo
Producto C;Tramo 3;202201;Grupo 4;71;0.943661972;Nuevo
Producto C;Tramo 3;202202;Grupo 1;230;0.426086957;Nuevo
Producto C;Tramo 3;202202;Grupo 2;225;0.631111111;Nuevo
Producto C;Tramo 3;202202;Grupo 3;174;0.712643678;Nuevo
Producto C;Tramo 3;202202;Grupo 4;56;0.910714286;Nuevo
Producto C;Tramo 3;202203;Grupo 1;208;0.456730769;Nuevo
Producto C;Tramo 3;202203;Grupo 2;218;0.669724771;Nuevo
Producto C;Tramo 3;202203;Grupo 3;191;0.769633508;Nuevo
Producto C;Tramo 3;202203;Grupo 4;65;0.846153846;Nuevo
Producto C;Tramo 3;202204;Grupo 1;212;0.452830189;Nuevo
Producto C;Tramo 3;202204;Grupo 2;207;0.652173913;Nuevo
Producto C;Tramo 3;202204;Grupo 3;192;0.6875;Nuevo
Producto C;Tramo 3;202204;Grupo 4;86;0.813953488;Nuevo
Producto C;Tramo 3;202205;Grupo 1;199;0.527638191;Nuevo
Producto C;Tramo 3;202205;Grupo 2;183;0.628415301;Nuevo
Producto C;Tramo 3;202205;Grupo 3;201;0.736318408;Nuevo
