CCODE,Country,EVI,Exposure index,Population,Remoteness,Share of population in low elevated coastal zones ,Economic structure index,Export concentration,Shares of agriculture and forestry and fisheries,Shock index,Natural Shock index,Victims of natural disasters (%),Agricultural instability,Export instability,HAI,Health index,Prevalence of undernourishment  in total population (%),Under 5 mortality (per 1000),Maternal mortality (per 100 000 live birth),Education index,Literacy rate,Gross secondary enrolment ratio,GNI per capita ($)
STP,Sao Tome and Principe,41.2,62.3,199910.00,5506.97,21.83,38.14,0.59,11.78,20.15,9.92,0.00,5.17,14.12,86.01,86.25,13.50,33.80,156.11,85.76,90.14,86.19,1684.02
SAU,Saudi Arabia,14.4,23.6,32275687.00,3883.01,5.20,31.74,0.62,2.52,5.26,7.41,0.01,4.10,5.93,97.76,99.23,4.40,12.90,11.61,96.28,94.43,108.29,23674.18
SEN,Senegal,33.4,30.6,15411614.00,4805.34,10.06,20.62,0.23,16.46,36.27,72.55,1.24,14.93,4.14,57.13,80.35,11.30,47.10,315.11,33.90,42.82,49.65,1004.07
SYC,Seychelles,45.2,57.4,94228.00,6428.58,13.92,26.54,0.53,2.43,32.93,51.11,1.16,7.16,9.43,90.60,95.45,8.60,14.30,65.33,85.75,93.95,81.60,13632.45
SLE,Sierra Leone,51.6,45.0,7396190.00,5227.85,3.79,79.47,0.63,57.87,58.09,37.69,0.04,10.58,28.55,27.40,31.37,30.90,113.50,1359.67,23.42,32.43,43.25,582.07
SGP,Singapore,30.5,33.8,5622455.00,5473.64,10.33,8.52,0.24,0.04,27.30,50.00,0.00,21.19,6.38,98.95,99.86,5.00,2.80,9.98,98.03,97.05,108.10,53503.53
SLB,Solomon Islands,51.9,63.0,599419.00,8945.31,12.88,51.95,0.61,26.87,40.80,45.12,1.36,4.55,15.95,74.79,88.82,13.90,25.80,114.00,60.75,84.10,48.44,1763.08
SOM,Somalia,34.7,43.8,14317996.00,5722.45,2.50,82.48,0.65,60.18,25.66,51.32,8.71,2.33,1.83,16.66,23.31,62.00,132.50,731.88,10.00,40.00,7.35,95.11
ZAF,South Africa,23.4,23.7,56015473.00,8751.29,0.16,2.39,0.12,2.40,23.08,46.15,1.86,4.17,4.85,92.58,89.56,4.60,43.30,138.05,95.59,94.37,98.82,6099.19
SSD,South ‎Sudan,55.6,36.0,12230730.00,5137.86,0.00,44.38,0.81,4.31,75.23,50.46,4.29,3.73,59.68,25.80,50.38,25.60,90.70,789.21,1.22,26.83,9.52,1302.68
